STATE,ZIP,DOMAIN,CLUSTER,HOMEOWNR,DATASRCE,RFA_2,RFA_2R,RFA_2A,DOMAIN_A,DOMAIN_B
IL,61081,T2,36,U,C,L4E,L,E,T,2
CA,91326,S1,14,H,A,L2G,L,G,S,1
NC,27017,R2,43,U,C,L4E,L,E,R,2
CA,95953,R2,44,U,C,L4E,L,E,R,2
FL,33176,S2,16,H,A,L2F,L,F,S,2
other,35603,T2,40,U,C,L1F,L,F,T,2
IN,46755,T2,40,H,D,L1E,L,E,T,2
other,70611,T2,39,U,C,L3E,L,E,T,2
other,51033,R2,45,U,D,L1F,L,F,R,2
other,37127-,T1,35,U,B,L1F,L,F,T,1
other,67335,R3,53,U,D,L1F,L,F,R,3
IN,46220,S2,17,U,B,L2F,L,F,S,2
other,56475,R3,51,H,D,L4D,L,D,R,3
other,70791,T2,40,U,B,L1G,L,G,T,2
other,84720,T1,35,H,D,L1F,L,F,T,1
CA,90056,U1,2,H,A,L1F,L,F,U,1
MI,48067,S2,20,U,A,L2F,L,F,S,2
IL,62376,R2,43,U,C,L1G,L,G,R,2
FL,32810,S2,16,H,B,L1F,L,F,S,2
NC,27850,C2,27,U,C,L1F,L,F,C,2
other,55125,S1,12,H,A,L3D,L,D,S,1
MI,49247,R2,43,U,C,L1G,L,G,R,2
FL,33983,T2,40,U,C,L1G,L,G,T,2
IL,60042,C1,22,U,A,L2E,L,E,C,1
other,55044,T1,35,H,A,L3E,L,E,T,1
CA,93527-,T1,35,H,B,L2F,L,F,T,1
IL,60091,S1,13,H,A,L1G,L,G,S,1
MO,64468,T1,35,H,D,L3E,L,E,T,1
TX,77381,T1,35,H,A,L2E,L,E,T,1
IL,62249,T2,40,U,A,L3E,L,E,T,2
TX,77546,T1,35,U,A,L3D,L,D,T,1
MO,63031,U3,8,H,A,L2F,L,F,U,3
NC,27106,C2,25,U,B,L1G,L,G,C,2
FL,33143,S1,15,U,A,L2F,L,F,S,1
other,97008,R2,40,U,B,L2F,L,F,R,2
other,97708,R1,42,U,C,L1F,L,F,R,1
TX,78748,S1,12,H,B,L1G,L,G,S,1
CA,90274,S1,11,U,A,L2G,L,G,S,1
other,55112,S2,17,H,A,L3F,L,F,S,2
other,55066-,T2,36,H,D,L1G,L,G,T,2
IL,61604,C2,28,U,B,L3G,L,G,C,2
MI,49506,U1,2,U,B,L2E,L,E,U,1
WA,98006,S1,14,H,A,L1F,L,F,S,1
FL,33332,T1,35,H,A,L1F,L,F,T,1
WI,53221,S2,18,H,B,L3F,L,F,S,2
other,52402,C1,24,H,C,L3D,L,D,C,1
other,36322,R2,40,U,C,L1E,L,E,R,2
IN,46350,T1,34,H,C,L1F,L,F,T,1
WA,98116,U2,5,U,A,L2F,L,F,U,2
TX,75606,C3,31,H,C,L1F,L,F,C,3
IL,61273,R2,44,U,B,L2F,L,F,R,2
NC,27703,C3,32,H,B,L1F,L,F,C,3
NC,27105,C2,27,H,B,L3D,L,D,C,2
FL,33056,S2,18,H,A,L1E,L,E,S,2
IL,62959,T2,36,H,C,L1F,L,F,T,2
CA,94014,R2,46,U,A,L2G,L,G,R,2
CA,92801,U1,3,U,A,L4E,L,E,U,1
other,36005,R3,50,H,D,L1F,L,F,R,3
TX,75217,S2,18,U,A,L2F,L,F,S,2
IN,46987,R2,44,H,C,L1F,L,F,R,2
TX,77515,T2,40,H,A,L1F,L,F,T,2
GA,31322,R2,44,H,B,L1F,L,F,R,2
other,73456,R3,53,H,D,L2F,L,F,R,3
TX,76028,T2,40,H,A,L1F,L,F,T,2
GA,31816,R2,46,H,D,L1F,L,F,R,2
NC,28105,S2,17,H,B,L4D,L,D,S,2
FL,34231,C2,28,U,B,L2G,L,G,C,2
IL,62022,R2,43,U,A,L1E,L,E,R,2
CA,92868,U2,7,U,A,L1G,L,G,U,2
IN,47635,R2,45,U,D,L1G,L,G,R,2
CA,95966,T2,37,H,C,L3D,L,D,T,2
other,29020,T2,40,H,D,L1G,L,G,T,2
other,40222,S1,14,U,B,L1F,L,F,S,1
NC,28713,R3,53,U,D,L1F,L,F,R,3
CA,92163,U4,10,H,A,L2E,L,E,U,4
MI,48302,C1,24,H,A,L3F,L,F,C,1
other,21045,T2,38,U,A,L1G,L,G,T,2
IL,60406,S3,21,H,A,L3E,L,E,S,3
CA,92625,S1,13,H,A,L2F,L,F,S,1
FL,33319,U3,9,H,A,L2F,L,F,U,3
WI,53562,S1,11,H,B,L1G,L,G,S,1
FL,34222,C2,28,U,B,L1F,L,F,C,2
TX,75082,S1,11,H,A,L3E,L,E,S,1
other,57783-,R2,46,U,D,L1F,L,F,R,2
CA,92805,U2,7,U,A,L1F,L,F,U,2
GA,30738,R2,43,U,B,L1F,L,F,R,2
CA,90703,U1,3,H,A,L2F,L,F,U,1
other,42001,C2,28,H,C,L1F,L,F,C,2
FL,33433,C2,29,H,B,L1G,L,G,C,2
TX,79602,C3,30,H,C,L1G,L,G,C,3
other,89504,C2,25,U,B,L1G,L,G,C,2
NC,28644,R2,45,H,D,L1F,L,F,R,2
other,40214,C3,31,H,B,L4D,L,D,C,3
GA,30032,S2,18,H,A,L3E,L,E,S,2
other,97470,C2,27,H,C,L4E,L,E,C,2
other,68061-,R2,45,U,D,L1E,L,E,R,2
other,85365,T2,36,H,C,L1F,L,F,T,2
MO,64841,T2,40,U,C,L4D,L,D,T,2
FL,34239,C2,29,H,B,L1E,L,E,C,2
CA,90045,S1,13,U,A,L1F,L,F,S,1
FL,33736,U2,4,U,A,L2F,L,F,U,2
other,23005-,S1,12,U,B,L3E,L,E,S,1
CA,90220,U4,10,H,A,L2G,L,G,U,4
other,29374,R2,44,U,B,L2E,L,E,R,2
TX,75043,U1,3,H,A,L1G,L,G,U,1
CA,90024,C1,22,U,A,L2G,L,G,C,1
other,70435,T3,41,U,B,L4D,L,D,T,3
FL,32073,S2,18,H,B,L1G,L,G,S,2
other,58033,R3,51,U,D,L1F,L,F,R,3
CA,92545,S1,13,H,A,L1G,L,G,S,1
TX,79762,C1,24,U,C,L1E,L,E,C,1
TX,76252,R2,49,H,D,L1F,L,F,R,2
NC,28379,T2,36,H,D,L1F,L,F,T,2
CA,94901,C1,24,H,A,L2G,L,G,C,1
other,89014,S1,12,H,B,L1F,L,F,S,1
other,36608,S1,13,H,B,L1G,L,G,S,1
other,70711,R2,43,H,B,L3G,L,G,R,2
other,73159,C1,24,H,B,L3E,L,E,C,1
TX,77079,S1,13,H,A,L1G,L,G,S,1
other,99508,S2,18,H,C,L4E,L,E,S,2
